persons_detected,unique_tracks,zone_occupancy,restricted_zone_entries,restricted_zone_exits,time_in_restricted_zone,loitering_events,after_hours_activity,crowd_level,repeated_entries,detection_confidence_mean,detection_confidence_min,detection_confidence_max,movement_speed,event_frequency,events_per_minute,activity_hour,day_of_week,camera_activity_level,is_anomaly,scenario_type
32,4,2,1,0,2.0,0,0.0,2,0,0.876,0.788,0.923,26.4,0,0.0,18,6,0.549,0,normal_daytime
28,2,2,2,2,8.1,0,0.0,2,0,0.893,0.747,0.941,23.2,0,0.0,12,4,0.38,0,normal_daytime
84,6,1,0,0,0.0,0,0.0,1,0,0.924,0.816,0.972,57.0,0,0.0,15,6,0.801,0,normal_daytime
78,6,2,0,0,0.0,0,0.0,1,0,0.946,0.846,0.986,41.9,0,0.0,19,0,0.62,0,normal_lobby_transit
52,4,1,1,1,7.7,0,0.0,1,0,0.883,0.705,0.929,34.4,1,1.0,19,4,0.573,0,normal_daytime
16,2,0,1,1,1.3,0,1.0,0,0,0.833,0.713,0.883,31.6,0,0.0,23,1,0.2,0,normal_night_staff
50,5,0,0,0,0.0,0,0.0,1,1,0.86,0.716,0.9,53.4,0,0.0,14,0,0.71,0,normal_daytime
9,1,0,1,1,1.6,0,1.0,0,0,0.88,0.76,0.93,47.9,0,0.0,3,2,0.14,0,normal_night_staff
20,2,1,2,2,10.7,0,0.0,1,0,0.849,0.717,0.889,25.2,0,0.0,15,4,0.386,0,normal_daytime
9,1,1,1,1,1.3,0,1.0,1,0,0.838,0.718,0.888,39.2,0,0.0,3,0,0.14,0,normal_night_staff
24,2,2,0,0,0.0,0,0.0,2,0,0.882,0.782,0.922,61.6,0,0.0,13,1,0.34,0,normal_lobby_transit
52,2,2,3,1,75.3,2,1.0,2,3,0.837,0.657,0.897,6.3,3,4.5,2,6,0.801,1,after_hours_breach
8,2,0,0,0,0.0,0,1.0,0,0,0.857,0.737,0.907,30.6,0,0.0,5,2,0.2,0,normal_night_staff
38,2,1,7,6,37.7,1,0.0,1,6,0.87,0.77,0.92,58.3,2,3.0,16,3,0.98,1,repeated_reconnaissance
8,1,0,1,1,1.8,0,1.0,0,0,0.855,0.735,0.905,32.2,0,0.0,3,2,0.14,0,normal_night_staff
55,5,0,1,1,0.6,0,0.0,1,0,0.831,0.659,0.855,51.9,1,1.0,11,6,0.706,0,normal_daytime
112,8,12,9,1,73.8,3,0.0,12,1,0.828,0.628,0.888,16.8,4,8.0,17,2,0.92,1,crowd_surge
45,5,1,0,0,0.0,0,0.0,1,0,0.882,0.742,0.933,63.6,0,0.0,10,5,0.741,0,normal_daytime
90,5,1,0,0,0.0,0,0.0,3,0,0.938,0.838,0.978,47.6,0,0.0,18,1,0.55,0,normal_lobby_transit
66,6,0,1,1,1.5,0,0.0,1,1,0.899,0.806,0.949,33.6,1,1.0,18,6,0.731,0,normal_daytime
9,1,1,1,1,4.3,0,1.0,1,0,0.867,0.747,0.917,33.6,0,0.0,4,4,0.14,0,normal_night_staff
54,6,2,1,1,11.4,0,0.0,2,0,0.827,0.738,0.864,41.5,0,0.0,14,4,0.754,0,normal_daytime
18,2,2,0,0,0.0,0,0.0,2,0,0.876,0.702,0.922,61.7,0,0.0,18,4,0.495,0,normal_daytime
117,9,10,6,3,50.6,3,1.0,10,3,0.873,0.673,0.933,16.5,3,6.0,21,4,0.935,1,crowd_surge
20,2,1,0,0,0.0,0,0.0,3,0,0.855,0.755,0.895,54.0,0,0.0,15,1,0.34,0,normal_lobby_transit
22,2,0,0,0,0.0,0,0.0,1,0,0.829,0.672,0.879,23.8,0,0.0,11,2,0.381,0,normal_daytime
8,1,0,1,1,3.4,0,1.0,0,0,0.917,0.797,0.967,41.0,0,0.0,23,0,0.14,0,normal_night_staff
33,3,3,0,0,0.0,0,0.0,3,0,0.849,0.754,0.895,26.4,0,0.0,19,3,0.469,0,normal_daytime
35,1,1,1,0,198.7,1,0.0,1,1,0.927,0.847,0.977,4.3,1,1.0,11,2,0.947,1,pharmacy_loitering
45,3,1,0,0,0.0,0,0.0,1,0,0.874,0.774,0.914,38.7,0,0.0,12,2,0.41,0,normal_lobby_transit
24,2,1,0,0,0.0,0,0.0,1,0,0.866,0.689,0.896,64.8,0,0.0,15,1,0.504,0,normal_daytime
70,5,3,0,0,0.0,0,0.0,3,0,0.92,0.764,0.96,25.2,0,0.0,16,3,0.626,0,normal_daytime
48,6,3,2,0,3.5,0,0.0,3,0,0.85,0.75,0.893,62.9,0,0.0,9,1,0.819,0,normal_daytime
36,4,0,1,1,9.3,0,0.0,1,0,0.874,0.772,0.919,53.3,0,0.0,10,5,0.63,0,normal_daytime
34,1,1,1,0,124.8,1,0.0,1,0,0.897,0.817,0.947,2.9,2,2.0,19,1,0.8,1,pharmacy_loitering
68,4,0,0,0,0.0,0,0.0,1,0,0.945,0.845,0.985,55.2,0,0.0,14,3,0.48,0,normal_lobby_transit
9,1,0,1,1,2.7,0,1.0,0,0,0.81,0.69,0.86,27.4,0,0.0,6,0,0.14,0,normal_night_staff
42,3,1,0,0,0.0,0,0.0,1,0,0.903,0.741,0.931,34.5,0,0.0,13,5,0.494,0,normal_daytime
50,5,0,2,0,11.5,0,0.0,1,0,0.821,0.658,0.842,30.7,0,0.0,9,1,0.642,0,normal_daytime
